date,open,high,low,close,volume
2025-08-14,609.2482877372754,613.1226806640625,607.3110912738817,613.1226806640625,3362415
2025-08-15,613.122710315211,614.09130859375,561.787001552642,614.09130859375,1575117
2025-08-19,614.0913546048678,631.5261249248798,615.0599529559796,629.5889282226562,4589615
2025-08-20,629.5888091757571,631.5260055116825,620.8714256640927,625.7144165039062,1758222
2025-08-21,625.7145348182091,629.5889282226562,624.7459364670973,629.5889282226562,2237058
2025-08-22,629.5889189749054,639.27490234375,623.7773289535985,639.27490234375,1844125
2025-08-25,639.274911733774,639.274911733774,628.6203298715444,629.5889282226562,1690061
2025-08-26,631.824659264606,670.7061767578125,631.824659264606,670.7061767578125,2513344
2025-08-27,670.7061268955064,664.8738997051106,638.62887734833,642.5170288085938,1184305
2025-08-28,642.5169394127408,646.4050903320312,638.6287884934504,646.4050903320312,1605244
2025-08-29,646.4050903320312,646.4050903320312,632.7965621145148,646.4050903320312,2303390
2025-09-01,646.4051721746271,641.5449829101562,632.7966422341086,641.5449829101562,336242
2025-09-02,641.5449829101562,641.5449829101562,641.5449829101562,641.5449829101562,0
2025-09-03,631.8245234451895,631.8245234451895,617.2439575195312,617.2439575195312,1342153
2025-09-04,617.2439493365845,629.8804396379634,616.2719116210938,616.2719116210938,3143428
2025-09-05,616.2719797926683,631.8245849609375,616.2719797926683,631.8245849609375,5951555
2025-09-08,631.8246043812145,650.2933235862038,623.0762637051669,641.5449829101562,1329132
2025-09-09,641.5449423753578,642.5169801668357,629.8804888776241,636.6847534179688,828928
2025-09-10,636.684765183782,645.43310546875,622.1041980421687,645.43310546875,566642
2025-09-11,645.4331017470942,641.5449505317501,636.6847615125703,637.6567993164062,11425778
2025-09-12,637.656815456402,646.4051559123587,637.656815456402,639.6008911132812,542567
2025-09-15,639.6008838879357,634.7406948006413,618.2160519038405,624.0482788085938,2367546
2025-09-16,624.0482463806054,614.3278687111256,602.6634155077497,605.5795288085938,12872591
2025-09-17,605.5795978643955,609.4677493755634,605.5795978643955,606.5516357421875,1623657
2025-09-18,606.551603452621,607.5236412786669,602.6634521484375,602.6634521484375,21617484
2025-09-19,602.6634034367547,611.4117431640625,599.7472901943188,611.4117431640625,13141348
2025-09-22,611.4117871816285,624.0482788085938,602.6634468244986,624.0482788085938,1434645
2025-09-23,624.0482700627025,637.6567993164062,625.9923456703744,637.6567993164062,4346245
2025-09-24,637.6568073986872,638.6288452148438,633.7686561340611,638.6288452148438,2500136
2025-09-25,640.8724141594107,640.8724141594107,636.9706034187142,638.9215087890625,1619678
2025-09-26,638.9215087890625,643.7987722149331,636.9706034187142,638.9215087890625,653842
2025-09-29,638.9215087890625,639.8969614742366,635.9951507335401,638.9215087890625,3067245
2025-09-30,648.6760304768881,643.7987670898438,635.0196929931641,643.7987670898438,336242
2025-10-01,638.9214023760021,638.9214023760021,632.0932347170219,635.0195922851562,532039
2025-10-02,635.0196929931641,643.7987670898438,638.9215037027996,643.7987670898438,1921589
2025-10-03,643.7988009580165,663.3078555325019,636.9706318569466,657.4551391601562,2465487
2025-10-06,657.4551391601562,663.3078555325019,634.0442736707738,657.4551391601562,1612982
2025-10-07,657.4550732709522,662.3323364257812,657.4550732709522,662.3323364257812,292397
2025-10-08,662.3322912145544,658.4304809570312,653.5532181351274,658.4304809570312,289158
2025-10-09,658.4305226717064,679.8904804476731,658.4305226717064,677.9395751953125,2201629
2025-10-10,677.9395656720966,692.5713548592641,673.0623026097074,687.694091796875,1136860
2025-10-14,687.6941304322157,697.4486571050131,673.0623404230197,685.7432250976562,492922
